version, 0.000000
codebook_name, LT2v0
bit_names, RS0015, RS0083, RS0095, RS0109, RS0175, RS0237, RS0247, RS0255, RS0307, RS0332, RS0343, RS0384, RS0406, RS0451, RS0468, RS0548, RS0578, RS0584, RS0639, RS0707, RS0708, RS0730, RS0763, RS0793, RS0805, RS0820
name, id, barcode
Pax9, ENSMUST00000153250.9, 00101000000101000000000000
Entpd1, ENSMUST00000134063.8, 00000000000011000000110000
Dkk1, ENSMUST00000025803.9, 00010001000000000001000100
Ntn1, ENSMUST00000021284.4, 00001100000000000000110000
Pou3f1, ENSMUST00000053491.9, 10000000000010000000100010
Nrp1, ENSMUST00000026917.10, 00000000000001101001000000
Kitl, ENSMUST00000105283.9, 10000001100000010000000000
Igfbp2, ENSMUST00000047328.11, 00000100000001001000000010
Tgfbr2, ENSMUST00000061101.12, 00100000000010000000001010
Nrros, ENSMUST00000143682.8, 00000010000000101000000010
Kdr, ENSMUST00000113516.2, 00010000000000010000010001
Dll1, ENSMUST00000014917.8, 00100000000000010000100001
Olig2, ENSMUST00000035608.10, 10000010000101000000000000
Mt2, ENSMUST00000034214.8, 00000000010110100000000000
Slc17a6, ENSMUST00000032710.7, 00000000000000000101010100
Pax6, ENSMUST00000090397.13, 00001000000000100010000010
Ctsh, ENSMUST00000127842.8, 00010010001000010000000000
Itga2b, ENSMUST00000103086.4, 00100100000000000100001000
Dbx1, ENSMUST00000032717.7, 00010001000000000100010000
Sox21, ENSMUST00000170662.2, 00000011000000001100000000
Cryab, ENSMUST00000217475.2, 00000000010000010100000100
Msx1, ENSMUST00000063116.10, 00000000000010100000101000
Nrcam, ENSMUST00000110748.4, 00000010010000000000001001
Hoxc11, ENSMUST00000001701.4, 10001000000000000001000100
En1, ENSMUST00000079721.9, 00000000110000000011000000
Arhgap18, ENSMUST00000039557.9, 00001010000000000000010100
Tcf7l2, ENSMUST00000041717.14, 00000000010100000000101000
Nkx2-5, ENSMUST00000015723.5, 00000100001000000000001001
Tgfb1, ENSMUST00000169009.8, 10000000000001000000100001
Ptprn2, ENSMUST00000190247.7, 11000000001100000000000000
Gata6, ENSMUST00000047762.10, 00000100000010001000000001
Met, ENSMUST00000115443.8, 00000000100110010000000000
Sdk1, ENSMUST00000085774.11, 10100000101000000000000000
Lhx9, ENSMUST00000019374.14, 01000000000010000000100001
Dppa3, ENSMUST00000049644.9, 00100000001000001000000010
Pou5f1, ENSMUST00000173934.8, 10000001000110000000000000
Neurog2, ENSMUST00000029587.9, 00000000110000000000000011
Gsc, ENSMUST00000021513.6, 00001000001000000000001010
Grid2, ENSMUST00000095852.5, 00000000010001000100010000
Ifitm3, ENSMUST00000026565.7, 00000010000001000010000001
Vwf, ENSMUST00000112254.8, 00000010000100000000010010
Fry, ENSMUST00000239118.2, 00000000000000001010101000
Kit, ENSMUST00000144270.8, 00001000100000000000010001
Zic4, ENSMUST00000172646.8, 10011001000000000000000000
Snca, ENSMUST00000114268.5, 10001000000000000010001000
Epcam, ENSMUST00000053577.9, 10010000000000000000100100
Foxc1, ENSMUST00000062292.5, 00000110000000000000100100
Fras1, ENSMUST00000036019.5, 00000000001010000001010000
Rfx4, ENSMUST00000095388.5, 00000001000000011000000010
Ret, ENSMUST00000032201.8, 00000000010010000010000100
Pitx2, ENSMUST00000042587.12, 00000001000100000000010001
Tead4, ENSMUST00000112157.4, 01000000000000100000001001
Fstl5, ENSMUST00000038364.15, 10000010000000000001010000
Dscaml1, ENSMUST00000239471.2, 00000000010010000001001000
Gata4, ENSMUST00000118022.8, 00010000000001000000001010
Treml1, ENSMUST00000224001.2, 01000001000000000100000100
Lgmn, ENSMUST00000110020.8, 00100100000110000000000000
Apoa2, ENSMUST00000111321.8, 00100010000000000001000100
Uap1l1, ENSMUST00000102925.4, 00000000000100101000010000
Tfap2a, ENSMUST00000110193.9, 01010000010100000000000000
Notch1, ENSMUST00000028288.5, 00100000000000010000010010
